time,equity,balance,open_positions,drawdown_pct
2026-01-05 02:00:00,10000.0,10000.0,0,0.0
2026-01-05 03:00:00,10000.0,10000.0,0,0.0
2026-01-05 04:00:00,10000.0,10000.0,0,0.0
2026-01-05 05:00:00,10000.0,10000.0,0,0.0
2026-01-05 06:00:00,10000.0,10000.0,0,0.0
2026-01-05 07:00:00,10000.0,10000.0,0,0.0
2026-01-05 08:00:00,10000.0,10000.0,0,0.0
2026-01-05 09:00:00,9999.7,10000.0,1,0.0
2026-01-05 10:00:00,10036.2,10000.0,1,0.0
2026-01-05 11:00:00,10003.8,10000.0,1,0.32
2026-01-05 12:00:00,9998.8,10000.0,1,0.37
2026-01-05 13:00:00,10049.6,10000.0,1,0.0
2026-01-05 14:00:00,10027.3,10000.0,1,0.22
2026-01-05 15:00:00,10078.6,10000.0,1,0.0
2026-01-05 16:00:00,10002.9,10000.0,1,0.75
2026-01-05 17:00:00,10107.5,10107.5,0,0.0
2026-01-05 18:00:00,10107.5,10107.5,0,0.0
2026-01-05 19:00:00,10107.5,10107.5,0,0.0
2026-01-05 20:00:00,10107.5,10107.5,0,0.0
2026-01-05 21:00:00,10107.5,10107.5,0,0.0
2026-01-05 22:00:00,10107.5,10107.5,0,0.0
2026-01-05 23:00:00,10107.5,10107.5,0,0.0
2026-01-06 00:00:00,10107.5,10107.5,0,0.0
2026-01-06 01:00:00,10107.5,10107.5,0,0.0
2026-01-06 02:00:00,10107.5,10107.5,0,0.0
2026-01-06 03:00:00,10107.5,10107.5,0,0.0
2026-01-06 04:00:00,10107.5,10107.5,0,0.0
2026-01-06 05:00:00,10107.5,10107.5,0,0.0
2026-01-06 06:00:00,10107.5,10107.5,0,0.0
2026-01-06 07:00:00,10107.5,10107.5,0,0.0
2026-01-06 08:00:00,10107.5,10107.5,0,0.0
2026-01-06 09:00:00,10107.2,10107.5,1,0.0
2026-01-06 10:00:00,10184.1,10107.5,1,0.0
2026-01-06 11:00:00,10240.7,10107.5,1,0.0
2026-01-06 12:00:00,10099.5,10107.5,1,1.38
2026-01-06 13:00:00,9898.9,10107.5,1,3.34
2026-01-06 14:00:00,9836.5,9836.5,0,3.95
2026-01-06 15:00:00,9836.5,9836.5,0,3.95
2026-01-06 16:00:00,9836.5,9836.5,0,3.95
2026-01-06 17:00:00,9836.5,9836.5,0,3.95
2026-01-06 18:00:00,9836.5,9836.5,0,3.95
2026-01-06 19:00:00,9836.5,9836.5,0,3.95
2026-01-06 20:00:00,9836.5,9836.5,0,3.95
2026-01-06 21:00:00,9836.5,9836.5,0,3.95
2026-01-06 22:00:00,9836.5,9836.5,0,3.95
2026-01-06 23:00:00,9836.5,9836.5,0,3.95
2026-01-07 00:00:00,9836.5,9836.5,0,3.95
2026-01-07 01:00:00,9836.5,9836.5,0,3.95
2026-01-07 02:00:00,9836.5,9836.5,0,3.95
2026-01-07 03:00:00,9836.5,9836.5,0,3.95
2026-01-07 04:00:00,9836.5,9836.5,0,3.95
2026-01-07 05:00:00,9836.5,9836.5,0,3.95
2026-01-07 06:00:00,9836.5,9836.5,0,3.95
2026-01-07 07:00:00,9836.5,9836.5,0,3.95
2026-01-07 08:00:00,9836.5,9836.5,0,3.95
2026-01-07 09:00:00,9836.2,9836.5,1,3.95
2026-01-07 10:00:00,9778.2,9778.8,1,4.52
2026-01-07 11:00:00,9717.4,9778.8,1,5.11
2026-01-07 12:00:00,9640.4,9640.4,0,5.86
2026-01-07 13:00:00,9640.4,9640.4,0,5.86
2026-01-07 14:00:00,9640.4,9640.4,0,5.86
2026-01-07 15:00:00,9640.4,9640.4,0,5.86
2026-01-07 16:00:00,9640.4,9640.4,0,5.86
2026-01-07 17:00:00,9640.4,9640.4,0,5.86
2026-01-07 18:00:00,9640.4,9640.4,0,5.86
2026-01-07 19:00:00,9640.4,9640.4,0,5.86
2026-01-07 20:00:00,9640.4,9640.4,0,5.86
2026-01-07 21:00:00,9640.4,9640.4,0,5.86
2026-01-07 22:00:00,9640.4,9640.4,0,5.86
2026-01-07 23:00:00,9640.4,9640.4,0,5.86
2026-01-08 00:00:00,9640.4,9640.4,0,5.86
2026-01-08 01:00:00,9640.4,9640.4,0,5.86
2026-01-08 02:00:00,9640.4,9640.4,0,5.86
2026-01-08 03:00:00,9640.4,9640.4,0,5.86
2026-01-08 04:00:00,9640.4,9640.4,0,5.86
2026-01-08 05:00:00,9640.4,9640.4,0,5.86
2026-01-08 06:00:00,9640.4,9640.4,0,5.86
2026-01-08 07:00:00,9640.4,9640.4,0,5.86
2026-01-08 08:00:00,9640.4,9640.4,0,5.86
2026-01-08 09:00:00,9640.1,9640.4,1,5.86
2026-01-08 10:00:00,9464.7,9465.0,1,7.58
2026-01-08 11:00:00,9481.8,9465.0,1,7.41
2026-01-08 12:00:00,9610.9,9465.0,1,6.15
2026-01-08 13:00:00,9679.5,9679.5,0,5.48
2026-01-08 14:00:00,9679.5,9679.5,0,5.48
2026-01-08 15:00:00,9679.5,9679.5,0,5.48
2026-01-08 16:00:00,9679.5,9679.5,0,5.48
2026-01-08 17:00:00,9679.5,9679.5,0,5.48
2026-01-08 18:00:00,9679.5,9679.5,0,5.48
2026-01-08 19:00:00,9679.5,9679.5,0,5.48
2026-01-08 20:00:00,9679.5,9679.5,0,5.48
2026-01-08 21:00:00,9679.5,9679.5,0,5.48
2026-01-08 22:00:00,9679.5,9679.5,0,5.48
2026-01-08 23:00:00,9679.5,9679.5,0,5.48
2026-01-09 00:00:00,9679.5,9679.5,0,5.48
2026-01-09 01:00:00,9679.5,9679.5,0,5.48
2026-01-09 02:00:00,9679.5,9679.5,0,5.48
2026-01-09 03:00:00,9679.5,9679.5,0,5.48
2026-01-09 04:00:00,9679.5,9679.5,0,5.48
2026-01-09 05:00:00,9679.5,9679.5,0,5.48
2026-01-09 06:00:00,9679.5,9679.5,0,5.48
2026-01-09 07:00:00,9679.5,9679.5,0,5.48
2026-01-09 08:00:00,9679.5,9679.5,0,5.48
2026-01-09 09:00:00,9679.2,9679.5,1,5.48
2026-01-09 10:00:00,9626.4,9679.5,1,6.0
2026-01-09 11:00:00,9502.9,9502.9,0,7.2
2026-01-09 12:00:00,9502.9,9502.9,0,7.2
